townkey1849;city;Cityname;population;kreiskey1849;district;region;Gründung;Jahr;Gesamt;Turnfreunde;Turner_1420;Turner_20;Turner;Beruf_Handwerk;Beruf_Gelehrte;Beruf_Kaufleute;Check_Gesamt;Check_Beruf;Check_Alter
;Allenburg;Allenburg;3000;1;Königsberg;1;07.05.1862;1862;49;12;6;31;37;14;6;29;0;0;0
;Braunsberg;Braunsberg;10200;1;Königsberg;1;01.06.1864;1864;60;45;4;11;15;19;14;27;0;0;0
;Gutstadt;Gutstadt;3800;1;Königsberg;1;01.06.1864;1864;27;0;0;27;27;6;4;17;0;0;0
;Heiligenbeil;Heiligenbeil;3000;1;Königsberg;1;20.06.1862;1862;62;39;9;14;23;25;16;21;0;0;0
;Königsberg;Koenigsberg;96000;1;Königsberg;1;27.06.1842;1842;897;521;59;317;376;70;192;630;0;5;0
;Labiau;Labiau;4500;;Königsberg;1;26.06.1861;1861;139;99;9;31;40;50;39;50;0;0;0
;Liebstadt;Liebstadt;2000;;Königsberg;1;10.08.1862;1862;16;7;;9;9;3;4;9;0;0;0
;Mehlsack;Mehlsack;3600;;Königsberg;1;02.06.1861;1861;36;12;3;21;24;13;11;12;0;0;0
;Memel;Memel;20000;;Königsberg;1;01.09.1863;1863;93;2;0;91;91;80;9;4;0;0;0
;Memel;Memel;20000;;Königsberg;1;17.05.1861;1861;280;0;23;257;280;47;50;170;0;13;0
;Mohrungen;Mohrungen;5000;;Königsberg;1;20.03.1862;1862;29;0;0;29;29;4;8;17;0;0;0
;Ortelsburg;Ortelsburg;1700;;Königsberg;1;24.06.1861;1861;48;23;5;20;25;7;24;17;0;0;0
;Preussisch-Eylau;Preussisch-Eylau;3200;;Königsberg;1;01.06.1864;1864;52;15;10;27;37;24;19;9;0;0;0
;Preussisch-Holland;Preussisch-Holland;4500;;Königsberg;1;17.07.1861;1861;30;15;2;13;15;2;13;15;0;0;0
;Wehlau;Wehlau;5400;;Königsberg;1;26.04.1862;1862;60;40;0;20;20;na;na;na;0;#WERT!;0
;Wormditt;Wormditt;4000;;Königsberg;1;18.06.1862;1862;41;17;0;24;24;5;7;29;0;0;0
;Eydkuhnen;Eydkuhnen;1600;;Gumbinnen;2;08.07.1862;1862;54;26;0;28;28;1;0;53;0;0;0
;Gumbinnen;Gumbinnen;7500;;Gumbinnen;2;12.10.1863;1863;34;8;0;26;26;11;6;17;0;0;0
;Insterburg;Insterburg;12500;;Gumbinnen;2;05.04.1858;1858;133;92;3;41;14;28;15;90;-3;0;-30
;Ragnit;Ragnit;3200;;Gumbinnen;2;22.05.1864;1864;163;80;0;83;83;63;28;72;0;0;0
;Ruß;Russ;1900;;Gumbinnen;2;25.04.1863;1863;54;38;3;13;13;26;4;22;0;2;-3
;Tilsit;Tilsit;17000;;Gumbinnen;2;24.06.1861;1861;228;116;33;79;112;34;24;170;0;0;0
;Danzig;Danzig;84000;;Danzig;3;01.05.1860;1860;185;53;45;87;132;17;51;117;0;0;0
;Danzig;Danzig;84000;;Danzig;3;08.03.1862;1862;111;23;na;na;na;76;5;30;#WERT!;0;#WERT!
;Dirschau;Dirschau;6000;;Danzig;3;01.09.1862;1862;74;39;8;27;35;25;9;40;;0;
;Elbing;Elbing;25000;;Danzig;3;16.07.1859;1859;124;26;22;76;98;17;22;55;0;30;0
;Marienburg;Marienburg;8000;;Danzig;3;15.05.1861;1861;63;25;6;32;38;11;11;41;0;0;0
;Neufahrwasser;Neufahrwasser;3500;;Danzig;3;11.11.1863;1863;39;4;3;32;35;13;10;16;0;0;0
;Neustadt Westpreußen;Neustadt Westpreussen;3300;;Danzig;3;30.09.1863;1863;137;80;12;45;57;23;15;49;0;50;0
;Preussisch Stargard;Preussisch Stargard;5000;;Danzig;3;26.06.1860;1860;66;33;13;20;33;75;4;37;0;-50;0
;Tiegenhof;Tiegenhof;2500;;Danzig;3;30.08.1862;1862;40;25;3;12;15;5;10;25;0;0;0
;Culm;Culm;8000;;Marienwerder;4;24.08.1861;1861;38;12;16;10;26;11;19;8;0;0;0
;Deutsch-Krone;Deutsch-Krone;6000;;Marienwerder;4;13.12.1862;1862;33;0;4;29;33;13;3;17;0;0;0
;Graudenz;Graudenz;10000;;Marienwerder;4;01.05.1859;1859;145;3;2;40;42;7;17;21;100;100;0
;Marienwerder;Marienwerder;7000;;Marienwerder;4;01.10.1861;1861;29;37;0;92;92;29;27;73;-100;-100;0
;Mewe;Mewe;4000;;Marienwerder;4;18.06.1862;1862;41;26;8;7;15;29;6;6;0;0;0
;Neuenburg;Neuenburg;4000;;Marienwerder;4;na;na;;;;;;;;;0;0;0
;Neumark;Neumark;1800;;Marienwerder;4;01.08.1862;1862;47;31;0;16;16;19;8;20;0;0;0
;Schwetz;Schwetz;4500;;Marienwerder;4;28.07.1861;1861;79;41;6;32;38;30;9;40;0;0;0
;Strassburg;Strassburg;5000;;Marienwerder;4;13.04.1862;1862;53;16;14;23;37;29;10;14;0;0;0
;Thorn;Thorn;14000;;Marienwerder;4;24.05.1860;1860;109;10;58;41;99;16;8;35;0;50;0
;Bromberg;Bromberg;23000;;Bromberg;5;04.08.1859;1859;136;32;0;104;104;42;12;64;0;18;0
;Chodziehen;Chodziehen;3500;;Bromberg;5;1861;1861;18;0;6;12;18;11;6;4;0;-3;0
;Scheidemühl;Scheidemuehl;7000;;Bromberg;5;11.09.1862;1862;42;;5;37;42;8;15;20;0;-1;0
;Filehne;Filehne;400;;Bromberg;5;15.05.1864;1864;43;22;4;17;21;12;15;11;0;5;0
;Gnesen;Gnesen;8000;;Bromberg;5;27.08.1862;1862;82;36;3;43;6;23;18;31;0;10;-40
;Hohensalza;Hohensalza;6700;;Bromberg;5;31.08.1861;1861;66;;;66;66;8;20;51;0;-13;0
;Bentschen;Bentschen;1800;;Posen;6;30.08.1863;1863;38;4;;34;34;17;8;13;0;0;0
;Birnbaum;Birnbaum;5000;;Posen;6;03.06.1864;1864;70;36;13;21;34;21;9;40;0;0;0
;Fraustadt;Fraustadt;6600;;Posen;6;02.05.1861;1861;34;3;;31;31;16;6;12;0;0;0
;Gostyn;Gostyn;2850;;Posen;6;31.08.1864;1864;31;10;10;11;21;14;3;14;0;0;0
;Grätz;Graetz;4000;;Posen;6;09.07.1862;1862;35;;7;28;35;9;6;21;0;-1;0
;Kempem;Kempem;5900;;Posen;6;16.08.1861;1861;106;5;6;46;52;19;10;77;49;0;0
;Kosten;Kosten;3470;;Posen;6;28.06.1862;1862;58;32;4;22;26;19;22;17;0;0;0
;Krotoschin;Krotoschin;8500;;Posen;6;31.08.1863;1863;37;9;4;25;29;10;5;22;-1;0;0
;Meseritz;Meseritz;5000;;Posen;6;06.04.1862;1862;30;30;;;;;;30;0;0;0
;Oberwitzko;Oberwitzko;1750;;Posen;6;01.07.1864;1864;26;;6;20;26;10;5;11;0;0;0
;Pleschen;Pleschen;6000;;Posen;6;15.05.1862;1862;61;;2;59;61;15;22;24;0;0;0
;Posen;Posen;51232;;Posen;6;28.11.1860;1860;245;142;15;88;103;57;30;158;0;0;0
;Rackwitz;Rackwitz;2050;;Posen;6;02.08.1863;1863;28;6;6;16;22;17;4;7;0;0;0
;Rawicz;Rawicz;10000;;Posen;6;21.02.1862;1862;78;29;1;48;49;23;23;32;0;0;0
;Rogasen;Rogasen;4550;;Posen;6;21.06.1860;1860;25;7;;18;18;4;7;14;0;0;0
;Schmiegel;Schmiegel;3100;;Posen;6;12.07.1862;1862;70;30;15;25;40;47;4;19;0;0;0
;Schroda;Schroda;1950;;Posen;6;21.08.1862;1862;29;14;3;12;15;2;20;7;0;0;0
;Schwerin;Schwerin;5600;;Posen;6;28.09.1861;1861;84;;18;66;84;2;11;51;0;20;0
;Unruhstadt;Unruhstadt;2000;;Posen;6;24.08.1863;1863;42;3;4;35;39;24;3;15;0;0;0
;Wollstein;Wollstein;2950;;Posen;6;01.07.1863;1863;64;20;5;39;44;19;10;35;0;0;0
;Zirke;Zirke;1700;;Posen;6;01.10.1864;1864;45;20;11;14;25;29;3;13;0;0;0
;Beuthen;Beuthen;4004;;Liegnitz;7;24.01.1862;1862;44;18;1;25;26;16;11;17;0;0;0
;Bolkenhain;Bolkenhain;2347;;Liegnitz;7;16.06.1861;1861;60;40;0;20;20;44;6;10;0;0;0
;Bunzlau;Bunzlau;7461;;Liegnitz;7;01.10.1864;1864;36;0;0;36;36;36;0;0;0;0;0
;Freiwaldau;Freiwaldau;1600;;Liegnitz;7;25.02.1864;1864;30;10;6;14;20;30;0;0;0;0;0
;Glogau;Glogau;17533;;Liegnitz;7;21.02.1861;1861;121;56;20;45;65;39;16;66;0;0;0
;Goldberg;Goldberg;6688;;Liegnitz;7;10.05.1862;1862;163;102;20;41;61;105;28;30;0;0;0
;Görlitz;Goerlitz;27983;;Liegnitz;7;01.11.1847;1847;320;140;42;138;180;155;44;121;0;0;0
;Greiffenberg;Greiffenberg;2519;;Liegnitz;7;24.06.1862;1862;40;0;3;37;40;14;5;21;0;0;0
;Greiffenberg;Greiffenberg;2519;;Liegnitz;7;29.05.1864;1864;37;3;0;34;34;35;2;0;0;0;0
;Grunau;Grunau;1800;;Liegnitz;7;27.08.1862;1862;14;6;1;7;8;14;0;0;0;0;0
;Grünberg;Gruenberg;10563;;Liegnitz;7;02.08.1861;1861;164;56;14;94;108;70;19;75;0;0;0
;Haynau;Haynau;4376;;Liegnitz;7;01.09.1861;1861;92;0;10;82;92;46;11;35;0;0;0
;Hirschberg;Hirschberg;8939;;Liegnitz;7;06.04.1861;1861;170;83;4;83;87;50;39;81;0;0;0
;Hoyerswerda;Hoyerswerda;2590;;Liegnitz;7;07.09.1861;1861;212;142;42;28;70;122;33;57;0;0;0
;Jauer;Jauer;8679;;Liegnitz;7;10.05.1861;1861;116;32;18;66;84;82;13;21;0;0;0
;Landeshut;Landeshut;4670;;Liegnitz;7;16.09.1861;1861;140;68;1;71;72;34;35;71;0;0;0
;Langenöls;Langenoels;4000;;Liegnitz;7;07.08.1862;1862;48;12;5;31;36;42;6;0;0;0;0
;Lauban;Lauban;6656;;Liegnitz;7;18.10.1860;1860;152;48;52;52;104;91;23;38;0;0;0
;Liebau;Liebau;2823;;Liegnitz;7;01.05.1864;1864;61;27;7;27;34;35;6;20;0;0;0
;Liegnitz;Liegnitz;18662;;Liegnitz;7;06.10.1852;1852;255;179;40;36;76;99;32;124;0;0;0
;Löwenberg;Loewenberg;5465;;Liegnitz;7;18.06.1862;1862;94;40;28;26;54;65;20;9;0;0;0
;Lüben;Lueben;4549;;Liegnitz;7;31.03.1862;1862;42;16;3;23;26;4;28;10;0;0;0
;Marklissa;Marklissa;2014;;Liegnitz;7;01.07.1863;1863;44;12;4;28;32;42;0;2;0;0;0
;Muskau;Muskau;2579;;Liegnitz;7;01.07.1862;1862;88;17;24;47;71;71;7;10;0;0;0
;Naumburg;Naumburg;1815;;Liegnitz;7;07.06.1863;1863;74;20;6;48;54;68;3;3;0;0;0
;Neusalz;Neusalz;4504;;Liegnitz;7;08.02.1862;1862;32;4;0;28;28;13;6;13;0;0;0
;Parchwitz;Parchwitz;1422;;Liegnitz;7;16.05.1862;1862;51;30;5;16;21;45;1;5;0;0;0
;Rothenburg;Rothenburg;1586;;Liegnitz;7;24.06.1864;1864;69;23;29;17;46;48;12;9;0;0;0
;Ruhland;Ruhland;1581;;Liegnitz;7;01.04.1864;1864;45;30;9;6;15;32;7;6;0;0;0
;Sagan;Sagan;9561;;Liegnitz;7;25.05.1861;1861;196;78;43;75;118;128;11;57;0;0;0
;Schmiedeberg;Schmiedeberg;3494;;Liegnitz;7;26.06.1862;1862;49;20;1;28;29;16;7;26;0;0;0
;Schönau;Schoenau;1348;;Liegnitz;7;03.06.1862;1862;67;36;5;26;31;45;12;10;0;0;0
;Schönberg;Schoenberg;1448;;Liegnitz;7;12.11.1861;1861;53;24;6;23;29;44;2;7;0;0;0
;Seidenberg;Seidenberg;1536;;Liegnitz;7;29.06.1861;1861;74;26;21;27;48;61;6;7;0;0;0
;Sprottau;Sprottau;5308;;Liegnitz;7;05.07.1861;1861;138;68;0;70;70;70;22;46;0;0;0
;Tiefenfurt;Tiefenfurt;1000;;Liegnitz;7;06.06.1861;1861;32;12;5;15;20;12;7;13;0;0;0
;Warmbrunn;Warmbrunn;3000;;Liegnitz;7;01.08.1861;1861;65;16;0;49;49;35;13;17;0;0;0
;Bernstadt;Bernstadt;3727;;Breslau;8;28.06.1862;1862;60;40;0;20;20;42;4;14;0;0;0
;Breslau;Breslau;145589;;Breslau;8;11.01.1859;1859;410;180;74;156;230;33;140;237;0;0;0
;Breslau;Breslau;145589;;Breslau;8;19.09.1861;1861;330;150;0;180;180;40;59;231;0;0;0
;Brieg;Brieg;12970;;Breslau;8;18.07.1859;1859;106;27;32;47;79;32;23;51;0;0;0
;Ernsdorf;Ernsdorf;4500;;Breslau;8;16.08.1862;1862;69;30;2;37;39;64;2;3;0;0;0
;Festenberg;Festenberg;2210;;Breslau;8;21.06.1862;1862;50;16;4;30;34;23;7;11;0;9;0
;Frankenstein;Frankenstein;6567;;Breslau;8;01.05.1862;1862;39;11;0;28;28;19;5;15;0;0;0
;Freiburg;Freiburg;5847;;Breslau;8;02.08.1862;1862;62;32;0;30;30;36;3;23;0;0;0
;Glatz;Glatz;11415;;Breslau;8;08.07.1862;1862;53;26;1;26;27;19;4;30;0;0;0
;Gottesberg;Gottesberg;3305;;Breslau;8;24.05.1862;1862;64;24;6;34;40;54;3;7;0;0;0
;Guhrau;Guhrau;4100;;Breslau;8;16.04.1864;1864;93;55;11;27;38;37;15;41;0;0;0
;Habelschwerdt;Habelschwerdt;3849;;Breslau;8;03.04.1862;1862;71;27;9;35;44;31;14;26;0;0;0
;Langenbielau;Langenbielau;15000;;Breslau;8;10.04.1861;1861;40;26;4;10;14;15;5;20;0;0;0
;Münsterberg;Muensterberg;5222;;Breslau;8;26.07.1862;1862;45;12;14;19;33;26;1;18;0;0;0
;Neumarkt;Neumarkt;5097;;Breslau;8;09.10.1861;1861;64;31;4;29;33;56;3;5;0;0;0
;Neurode;Neurode;5886;;Breslau;8;24.06.1862;1862;28;11;2;15;17;8;10;10;0;0;0
;Nimptsch;Nimptsch;2105;;Breslau;8;07.09.1861;1861;50;30;0;20;20;25;6;19;0;0;0
;Oels;Oels;7499;;Breslau;8;12.07.1862;1862;33;12;0;21;21;8;9;16;0;0;0
;Ohlau;Ohlau;6840;;Breslau;8;22.07.1861;1861;56;32;1;23;24;18;5;33;0;0;0
;Reichenbach;Reichenbach;6356;;Breslau;8;01.04.1861;1861;63;40;9;14;23;21;5;37;0;0;0
;Schweidnitz;Schweidnitz;15281;;Breslau;8;27.06.1860;1860;61;32;4;25;29;23;14;24;0;0;0
;Steinau an der Oder;Steinau an der Oder;3241;;Breslau;8;14.09.1861;1861;30;5;8;17;25;14;4;12;0;0;0
;Strehlen;Strehlen;5424;;Breslau;8;01.05.1861;1861;36;17;0;19;19;21;1;14;0;0;0
;Striegau;Striegau;7608;;Breslau;8;17.07.1861;1861;59;0;3;56;59;24;16;19;0;0;0
;Trachenberg;Trachenberg;2968;;Breslau;8;15.08.1863;1863;62;30;4;28;32;33;4;25;0;0;0
;Trebnitz;Trebnitz;4424;;Breslau;8;20.02.1862;1862;56;41;0;15;15;18;22;16;0;0;0
;Waldenburg;Waldenburg;5554;;Breslau;8;16.06.1860;1860;150;110;6;34;40;77;21;52;0;0;0
;Wartenberg;Wartenberg;2434;;Breslau;8;09.07.1862;1862;31;16;9;6;15;9;4;18;0;0;0
;Wohlau;Wohlau;2923;;Breslau;8;29.04.1862;1862;17;5;0;12;12;4;9;4;0;0;0
;Wüstegiersdorf;Wuestegiersdorf;4000;;Breslau;8;30.06.1860;1860;50;25;8;17;25;20;10;20;0;0;0
;Wüstewaltersdorf;Wuestewaltersdorf;2000;;Breslau;8;25.07.1861;1861;42;28;0;14;14;19;7;16;0;0;0
;Beuthen;Beuthen;12843;;Oppeln;9;19.06.1861;1861;119;25;3;91;94;23;20;76;0;0;0
;Constadt;Constadt;1926;;Oppeln;9;24.06.1862;1862;24;0;0;24;24;9;0;15;0;0;0
;Creuzburg;Creuzburg;4365;;Oppeln;9;06.09.1861;1861;39;21;1;17;18;4;10;25;0;0;0
;Gleiwitz;Gleiwitz;11294;;Oppeln;9;19.12.1861;1861;113;33;3;77;80;25;25;63;0;0;0
;Grottkau;Grottkau;3916;;Oppeln;9;13.06.1861;1861;82;37;30;15;45;56;12;14;0;0;0
;Kattowitz;Kattowitz;4772;;Oppeln;9;12.05.1860;1860;107;48;0;59;59;22;19;66;0;0;0
;Königshütte;Koenigshuette;400;;Oppeln;9;07.07.1862;1862;46;24;0;22;22;17;9;20;0;0;0
;Laurahütte;Laurahuette;6300;;Oppeln;9;01.03.1862;1862;101;65;4;32;36;23;53;25;0;0;0
;Leobschütz;Leobschuetz;9365;;Oppeln;9;07.10.1862;1862;36;10;7;19;26;10;6;20;0;0;0
;Lipine;Lipine;4000;;Oppeln;9;05.03.1862;1862;38;26;0;12;12;7;3;28;0;0;0
;Myslowitz;Myslowitz;5656;;Oppeln;9;28.03.1861;1861;47;29;4;14;18;7;15;25;0;0;0
;Neisse;Neisse;13854;;Oppeln;9;23.06.1860;1860;133;42;69;22;91;69;7;57;0;0;0
;Neustadt ;Neustadt ;8641;;Oppeln;9;01.10.1861;1861;47;0;22;25;47;18;19;10;0;0;0
;Nicolai;Nicolai;4508;;Oppeln;9;19.10.1862;1862;25;10;0;15;15;13;6;6;0;0;0
;Oppeln;Oppeln;10378;;Oppeln;9;02.11.1861;1861;4;1;0;3;3;0;4;0;0;0;0
;Pitschen;Pitschen;2214;;Oppeln;9;05.04.1862;1862;53;24;0;29;29;41;6;6;0;0;0
;Ratibor;Ratibor;12526;;Oppeln;9;18.10.1861;1861;41;0;0;41;41;14;13;14;0;0;0
;Sohrau;Sohrau;3754;;Oppeln;9;30.11.1862;1862;23;18;0;5;5;5;5;13;0;0;0
;Tarnowitz;Tarnowitz;5924;;Oppeln;9;09.07.1862;1862;96;30;4;62;66;39;18;39;0;0;0
;Zaberze;Zaberze;6000;;Oppeln;9;27.08.1862;1862;43;29;2;12;14;8;17;18;0;0;0
;Ziegenhals;Ziegenhals;4013;;Oppeln;9;01.10.1863;1863;42;22;3;17;20;15;8;19;0;0;0
;Alt-Damm;Alt-Damm;3935;;Stettin;10;18.09.1864;1864;32;0;18;14;32;29;0;3;0;0;0
;Alt-Damm;Alt-Damm;3935;;Stettin;10;05.09.1863;1863;51;3;0;48;48;32;8;11;0;0;0
;Anclam;Anclam;12100;;Stettin;10;01.09.1861;1861;68;48;2;18;20;13;15;40;0;0;0
;Bahn;Bahn;2657;;Stettin;10;01.08.1862;1862;118;59;4;55;59;76;17;25;0;0;0
;Bredow;Bredow;3052;;Stettin;10;15.08.1861;1861;34;6;3;25;28;18;10;6;0;0;0
;Cammin;Cammin;5184;;Stettin;10;25.08.1861;1861;56;38;7;11;18;22;7;27;0;0;0
;Fiddichow;Fiddichow;3011;;Stettin;10;09.04.1860;1860;67;27;15;25;40;44;6;17;0;0;0
;Garz an der Oder;Garz an der Oder;4695;;Stettin;10;03.08.1862;1862;62;12;6;44;50;50;8;4;0;0;0
;Gollnow;Gollnow;7337;;Stettin;10;15.06.1861;1861;65;25;14;26;40;29;10;26;0;0;0
;Grabow an der Oder;Grabow an der Oder;6200;;Stettin;10;21.09.1861;1861;34;9;6;19;25;28;5;1;0;0;0
;Greifenberg;Greifenberg;5572;;Stettin;10;31.07.1862;1862;32;8;5;19;24;25;1;6;0;0;0
;Greifenhagen;Greifenhagen;6501;;Stettin;10;02.07.1862;1862;124;72;24;28;52;80;5;39;0;0;0
;Gülzow;Guelzow;1400;;Stettin;10;14.09.1862;1862;78;34;14;30;44;61;2;15;0;0;0
;Jarmen;Jarmen;1699;;Stettin;10;06.07.1862;1862;61;24;25;12;37;47;3;11;0;0;0
;Jasenitz;Jasenitz;2000;;Stettin;10;23.09.1862;1862;33;17;9;7;16;22;3;8;0;0;0
;Labes;Labes;4759;;Stettin;10;01.09.1861;1861;45;20;15;10;25;31;2;12;0;0;0
;Massow;Massow;2802;;Stettin;10;14.06.1862;1862;36;9;7;20;27;20;3;13;0;0;0
;Naugard;Naugard;4699;;Stettin;10;20.11.1863;1863;133;62;22;49;71;76;24;33;0;0;0
;Neutorney, Vorstadt von Stettin;Neutorney, Vorstadt von Stettin;;;Stettin;10;16.08.1862;1862;58;0;12;46;58;57;0;1;0;0;0
;Neutorney, Vorstadt von Stettin;Neutorney, Vorstadt von Stettin;;;Stettin;10;05.07.1861;1861;51;2;1;48;49;38;3;10;0;0;0
;Pasewalk;Pasewalk;7141;;Stettin;10;08.09.1861;1861;55;30;1;24;25;23;6;26;0;0;0
;Poelitz;Poelitz;3938;;Stettin;10;23.06.1862;1862;98;20;15;63;78;70;9;19;0;0;0
;Pyritz;Pyritz;6861;;Stettin;10;11.07.1861;1861;42;20;10;12;22;25;6;11;0;0;0
;Regenwalde;Regenwalde;3463;;Stettin;10;05.08.1863;1863;44;11;13;20;33;24;4;16;0;0;0
;Stargard;Stargard;15340;;Stettin;10;07.07.1860;1860;73;32;0;41;41;36;12;25;0;0;0
;Stettin;Stettin;63225;;Stettin;10;06.02.1847;1847;506;287;65;154;219;77;31;398;0;0;0
;Stettin;Stettin;63225;;Stettin;10;18.10.1859;1859;120;0;0;120;120;59;16;45;0;0;0
;Stettin;Stettin;63225;;Stettin;10;01.12.1859;1859;40;0;12;28;40;29;0;11;0;0;0
;Swinemünde;Swinemuende;6452;;Stettin;10;31.07.1861;1861;81;51;2;28;30;26;17;38;0;0;0
;Treptow an der Rega;Treptow an der Rega;6878;;Stettin;10;04.06.1862;1862;84;54;11;19;30;53;8;23;0;0;0
;Treptow an der Tollense;Treptow an der Tollense;4188;;Stettin;10;01.09.1862;1862;42;20;5;17;22;17;15;10;0;0;0
;Ueckermünde;Ueckermuende;4403;;Stettin;10;02.09.1861;1861;39;18;5;16;21;27;4;8;0;0;0
;Wollin;Wollin;5180;;Stettin;10;19.09.1862;1862;76;16;10;50;60;43;19;14;0;0;0
;Belgard;Belgard;5460;;Coeslin;11;09.06.1861;1861;82;55;6;21;27;33;18;31;0;0;0
